Entity,Nodes,Edges
ablution_component,"wash_hands_till_elbow, wash_feet_till_ankle, wash_hands, masah_of_neck, rinse_mouth, wash_nostrils, masah_of_head, wash_face",
component,"recitation, wipe_face, wash_face, ablution_component, wipe_hands, wash_hands, wudu, qauma, qadah, rinse_nostrils, standing, fatiha, salaam, takbir, standing_after_bow, masah_of_neck, clean_body, wash_feet_till_ankle, sitting, clean_whole_body, rinse_the_mouth, tayammum_component, wash_nostrils, prostration, masah_of_head, prayer_component, intention, bowing, wash_hands_till_elbow, ghusal_component, rinse_mouth, kiblah","('ablution_component', 'masah_of_head'), ('ablution_component', 'masah_of_neck'), ('ablution_component', 'rinse_mouth'), ('ablution_component', 'wash_face'), ('ablution_component', 'wash_feet_till_ankle'), ('ablution_component', 'wash_hands'), ('ablution_component', 'wash_hands_till_elbow'), ('ablution_component', 'wash_nostrils'), ('tayammum_component', 'wipe_face'), ('tayammum_component', 'wipe_hands'), ('prayer_component', 'bowing'), ('prayer_component', 'fatiha'), ('prayer_component', 'intention'), ('prayer_component', 'prostration'), ('prayer_component', 'qadah'), ('prayer_component', 'qauma'), ('prayer_component', 'recitation'), ('prayer_component', 'salaam'), ('prayer_component', 'sitting'), ('prayer_component', 'standing'), ('prayer_component', 'standing_after_bow'), ('prayer_component', 'takbir'), ('ghusal_component', 'clean_body'), ('ghusal_component', 'clean_whole_body'), ('ghusal_component', 'rinse_nostrils'), ('ghusal_component', 'rinse_the_mouth'), ('ghusal_component', 'wudu')"
namaz,"ablution_component, component, asar, farz_namaz, awabeen, nafil_namaz, bowing, prayer_component, chasht, clean_body, ghusal_component, clean_whole_body, eid, wajib_namaz, fajar, fatiha, friday, funeral, sunnat_namaz, haajat, intention, isha, ishraq, istikhara, istisqa, khusoof, kiblah, kusoof, maghrib, masah_of_head, masah_of_neck, prostration, qadah, qauma, recitation, rinse_mouth, rinse_nostrils, rinse_the_mouth, salaam, salat_ul_witr, sitting, standing, standing_after_bow, tahajud, tahiyyatul_ul_wuzu, takbir, tarawwih, tasbih, tawaff, tayammum_component, travel, wash_face, wash_feet_till_ankle, wash_hands, wash_hands_till_elbow, wash_nostrils, wipe_face, wipe_hands, wudu, zuhar","('ablution_component', 'masah_of_head'), ('ablution_component', 'masah_of_neck'), ('ablution_component', 'rinse_mouth'), ('ablution_component', 'wash_face'), ('ablution_component', 'wash_feet_till_ankle'), ('ablution_component', 'wash_hands'), ('ablution_component', 'wash_hands_till_elbow'), ('ablution_component', 'wash_nostrils'), ('component', 'ablution_component'), ('component', 'prayer_component'), ('component', 'ghusal_component'), ('component', 'kiblah'), ('component', 'tayammum_component'), ('farz_namaz', 'asar'), ('farz_namaz', 'fajar'), ('farz_namaz', 'isha'), ('farz_namaz', 'maghrib'), ('farz_namaz', 'zuhar'), ('nafil_namaz', 'awabeen'), ('nafil_namaz', 'chasht'), ('nafil_namaz', 'haajat'), ('nafil_namaz', 'ishraq'), ('nafil_namaz', 'istikhara'), ('nafil_namaz', 'khusoof'), ('nafil_namaz', 'kusoof'), ('nafil_namaz', 'tahiyyatul_ul_wuzu'), ('prayer_component', 'bowing'), ('prayer_component', 'fatiha'), ('prayer_component', 'intention'), ('prayer_component', 'prostration'), ('prayer_component', 'qadah'), ('prayer_component', 'qauma'), ('prayer_component', 'recitation'), ('prayer_component', 'salaam'), ('prayer_component', 'sitting'), ('prayer_component', 'standing'), ('prayer_component', 'standing_after_bow'), ('prayer_component', 'takbir'), ('ghusal_component', 'clean_body'), ('ghusal_component', 'clean_whole_body'), ('ghusal_component', 'rinse_nostrils'), ('ghusal_component', 'rinse_the_mouth'), ('ghusal_component', 'wudu'), ('wajib_namaz', 'eid'), ('wajib_namaz', 'friday'), ('wajib_namaz', 'salat_ul_witr'), ('wajib_namaz', 'tawaff'), ('sunnat_namaz', 'funeral'), ('sunnat_namaz', 'istisqa'), ('sunnat_namaz', 'tahajud'), ('sunnat_namaz', 'tarawwih'), ('sunnat_namaz', 'tasbih'), ('sunnat_namaz', 'travel'), ('tayammum_component', 'wipe_face'), ('tayammum_component', 'wipe_hands')"
allah,,
shahadah,"allah, last_prophet",
pillars,"ablution_component, component, namaz, allah, shahadah, last_prophet, arafaat, makkah, hajj, arafat, sunnat_fasting, fasting, asar, farz_namaz, awabeen, nafil_namaz, bowing, prayer_component, brightmoon, chasht, clean_body, ghusal_component, clean_whole_body, eid, wajib_namaz, fajar, farz_fasting, fatiha, friday, funeral, sunnat_namaz, haajat, hajr_e_aswad, kaba_tu_allah, hateem, intention, isha, ishraq, istikhara, istisqa, jamaraat, jamarah_al_aqaba, jamarah_al_sughra, jamarah_al_ula, jamarah_al_wusta, kaffara, wajib_fasting, nazar, khusoof, kiblah, kusoof, madinah, maghrib, maqaam_e_ibrahim, marwah, masah_of_head, masah_of_neck, masjid_al_haraam, mataaf, meeqaat, meezab_e_rehmat, mina, muharram, multazim, muzdalifaah, nafil_fasting, prostration, qadah, qauma, ramazan, random, recitation, rinse_mouth, rinse_nostrils, rinse_the_mouth, safaa, salaam, salat_ul_witr, shabban, shawwal, sitting, standing, standing_after_bow, tahajud, tahiyyatul_ul_wuzu, takbir, tarawwih, tasbih, tawaff, tayammum_component, travel, wash_face, wash_feet_till_ankle, wash_hands, wash_hands_till_elbow, wash_nostrils, wipe_face, wipe_hands, wudu, zakat, zakat_ul_fitr, zakat_wealth, zuhar","('ablution_component', 'masah_of_head'), ('ablution_component', 'masah_of_neck'), ('ablution_component', 'rinse_mouth'), ('ablution_component', 'wash_face'), ('ablution_component', 'wash_feet_till_ankle'), ('ablution_component', 'wash_hands'), ('ablution_component', 'wash_hands_till_elbow'), ('ablution_component', 'wash_nostrils'), ('component', 'ablution_component'), ('component', 'prayer_component'), ('component', 'ghusal_component'), ('component', 'kiblah'), ('component', 'tayammum_component'), ('namaz', 'component'), ('namaz', 'farz_namaz'), ('namaz', 'nafil_namaz'), ('namaz', 'wajib_namaz'), ('namaz', 'sunnat_namaz'), ('shahadah', 'allah'), ('shahadah', 'last_prophet'), ('makkah', 'arafaat'), ('makkah', 'kaba_tu_allah'), ('makkah', 'maqaam_e_ibrahim'), ('makkah', 'marwah'), ('makkah', 'masjid_al_haraam'), ('makkah', 'mataaf'), ('makkah', 'meeqaat'), ('makkah', 'mina'), ('makkah', 'muzdalifaah'), ('makkah', 'safaa'), ('hajj', 'makkah'), ('hajj', 'madinah'), ('sunnat_fasting', 'arafat'), ('sunnat_fasting', 'brightmoon'), ('sunnat_fasting', 'muharram'), ('fasting', 'sunnat_fasting'), ('fasting', 'farz_fasting'), ('fasting', 'wajib_fasting'), ('fasting', 'nafil_fasting'), ('farz_namaz', 'asar'), ('farz_namaz', 'fajar'), ('farz_namaz', 'isha'), ('farz_namaz', 'maghrib'), ('farz_namaz', 'zuhar'), ('nafil_namaz', 'awabeen'), ('nafil_namaz', 'chasht'), ('nafil_namaz', 'haajat'), ('nafil_namaz', 'ishraq'), ('nafil_namaz', 'istikhara'), ('nafil_namaz', 'khusoof'), ('nafil_namaz', 'kusoof'), ('nafil_namaz', 'tahiyyatul_ul_wuzu'), ('prayer_component', 'bowing'), ('prayer_component', 'fatiha'), ('prayer_component', 'intention'), ('prayer_component', 'prostration'), ('prayer_component', 'qadah'), ('prayer_component', 'qauma'), ('prayer_component', 'recitation'), ('prayer_component', 'salaam'), ('prayer_component', 'sitting'), ('prayer_component', 'standing'), ('prayer_component', 'standing_after_bow'), ('prayer_component', 'takbir'), ('ghusal_component', 'clean_body'), ('ghusal_component', 'clean_whole_body'), ('ghusal_component', 'rinse_nostrils'), ('ghusal_component', 'rinse_the_mouth'), ('ghusal_component', 'wudu'), ('wajib_namaz', 'eid'), ('wajib_namaz', 'friday'), ('wajib_namaz', 'salat_ul_witr'), ('wajib_namaz', 'tawaff'), ('farz_fasting', 'ramazan'), ('sunnat_namaz', 'funeral'), ('sunnat_namaz', 'istisqa'), ('sunnat_namaz', 'tahajud'), ('sunnat_namaz', 'tarawwih'), ('sunnat_namaz', 'tasbih'), ('sunnat_namaz', 'travel'), ('kaba_tu_allah', 'hajr_e_aswad'), ('kaba_tu_allah', 'hateem'), ('kaba_tu_allah', 'jamaraat'), ('kaba_tu_allah', 'meezab_e_rehmat'), ('kaba_tu_allah', 'multazim'), ('jamaraat', 'jamarah_al_aqaba'), ('jamaraat', 'jamarah_al_sughra'), ('jamaraat', 'jamarah_al_ula'), ('jamaraat', 'jamarah_al_wusta'), ('wajib_fasting', 'kaffara'), ('wajib_fasting', 'nazar'), ('nafil_fasting', 'random'), ('nafil_fasting', 'shabban'), ('nafil_fasting', 'shawwal'), ('tayammum_component', 'wipe_face'), ('tayammum_component', 'wipe_hands'), ('zakat', 'zakat_ul_fitr'), ('zakat', 'zakat_wealth')"
last_prophet,,
arafaat,,
makkah,"muzdalifaah, meeqaat, kaba_tu_allah, multazim, marwah, hajr_e_aswad, jamarah_al_ula, meezab_e_rehmat, hateem, masjid_al_haraam, jamaraat, mina, jamarah_al_sughra, jamarah_al_wusta, maqaam_e_ibrahim, safaa, arafaat, jamarah_al_aqaba, mataaf","('kaba_tu_allah', 'hajr_e_aswad'), ('kaba_tu_allah', 'hateem'), ('kaba_tu_allah', 'jamaraat'), ('kaba_tu_allah', 'meezab_e_rehmat'), ('kaba_tu_allah', 'multazim'), ('jamaraat', 'jamarah_al_aqaba'), ('jamaraat', 'jamarah_al_sughra'), ('jamaraat', 'jamarah_al_ula'), ('jamaraat', 'jamarah_al_wusta')"
hajj,"muzdalifaah, meeqaat, kaba_tu_allah, multazim, madinah, marwah, hajr_e_aswad, jamarah_al_ula, meezab_e_rehmat, makkah, hateem, masjid_al_haraam, jamaraat, mina, jamarah_al_sughra, jamarah_al_wusta, maqaam_e_ibrahim, safaa, arafaat, jamarah_al_aqaba, mataaf","('kaba_tu_allah', 'hajr_e_aswad'), ('kaba_tu_allah', 'hateem'), ('kaba_tu_allah', 'jamaraat'), ('kaba_tu_allah', 'meezab_e_rehmat'), ('kaba_tu_allah', 'multazim'), ('makkah', 'arafaat'), ('makkah', 'kaba_tu_allah'), ('makkah', 'maqaam_e_ibrahim'), ('makkah', 'marwah'), ('makkah', 'masjid_al_haraam'), ('makkah', 'mataaf'), ('makkah', 'meeqaat'), ('makkah', 'mina'), ('makkah', 'muzdalifaah'), ('makkah', 'safaa'), ('jamaraat', 'jamarah_al_aqaba'), ('jamaraat', 'jamarah_al_sughra'), ('jamaraat', 'jamarah_al_ula'), ('jamaraat', 'jamarah_al_wusta')"
arafat,,
sunnat_fasting,"brightmoon, muharram, arafat",
fasting,"nazar, random, kaffara, arafat, shabban, ramazan, brightmoon, wajib_fasting, farz_fasting, nafil_fasting, shawwal, muharram, sunnat_fasting","('wajib_fasting', 'kaffara'), ('wajib_fasting', 'nazar'), ('farz_fasting', 'ramazan'), ('nafil_fasting', 'random'), ('nafil_fasting', 'shabban'), ('nafil_fasting', 'shawwal'), ('sunnat_fasting', 'arafat'), ('sunnat_fasting', 'brightmoon'), ('sunnat_fasting', 'muharram')"
asar,,
farz_namaz,"fajar, maghrib, isha, asar, zuhar",
awabeen,,
nafil_namaz,"ishraq, kusoof, haajat, khusoof, chasht, istikhara, awabeen, tahiyyatul_ul_wuzu",
bowing,,
prayer_component,"recitation, standing, fatiha, intention, bowing, salaam, takbir, qauma, standing_after_bow, qadah, prostration, sitting",
brightmoon,,
chasht,,
clean_body,,
ghusal_component,"clean_whole_body, rinse_the_mouth, wudu, clean_body, rinse_nostrils",
clean_whole_body,,
eid,,
wajib_namaz,"tawaff, eid, salat_ul_witr, friday",
fajar,,
farz_fasting,ramazan,
islam,"ablution_component, component, namaz, allah, shahadah, pillars, last_prophet, arafaat, makkah, hajj, arafat, sunnat_fasting, fasting, asar, farz_namaz, awabeen, nafil_namaz, bowing, prayer_component, brightmoon, chasht, clean_body, ghusal_component, clean_whole_body, eid, wajib_namaz, fajar, farz_fasting, fatiha, friday, funeral, sunnat_namaz, haajat, hajr_e_aswad, kaba_tu_allah, hateem, intention, isha, ishraq, istikhara, istisqa, jamaraat, jamarah_al_aqaba, jamarah_al_sughra, jamarah_al_ula, jamarah_al_wusta, kaffara, wajib_fasting, nazar, khusoof, kiblah, kusoof, madinah, maghrib, maqaam_e_ibrahim, marwah, masah_of_head, masah_of_neck, masjid_al_haraam, mataaf, meeqaat, meezab_e_rehmat, mina, muharram, multazim, muzdalifaah, nafil_fasting, prostration, qadah, qauma, ramazan, random, recitation, rinse_mouth, rinse_nostrils, rinse_the_mouth, safaa, salaam, salat_ul_witr, shabban, shawwal, sitting, standing, standing_after_bow, tahajud, tahiyyatul_ul_wuzu, takbir, tarawwih, tasbih, tawaff, tayammum_component, travel, wash_face, wash_feet_till_ankle, wash_hands, wash_hands_till_elbow, wash_nostrils, wipe_face, wipe_hands, wudu, zakat, zakat_ul_fitr, zakat_wealth, zuhar","('ablution_component', 'masah_of_head'), ('ablution_component', 'masah_of_neck'), ('ablution_component', 'rinse_mouth'), ('ablution_component', 'wash_face'), ('ablution_component', 'wash_feet_till_ankle'), ('ablution_component', 'wash_hands'), ('ablution_component', 'wash_hands_till_elbow'), ('ablution_component', 'wash_nostrils'), ('component', 'ablution_component'), ('component', 'prayer_component'), ('component', 'ghusal_component'), ('component', 'kiblah'), ('component', 'tayammum_component'), ('namaz', 'component'), ('namaz', 'farz_namaz'), ('namaz', 'nafil_namaz'), ('namaz', 'wajib_namaz'), ('namaz', 'sunnat_namaz'), ('shahadah', 'allah'), ('shahadah', 'last_prophet'), ('pillars', 'shahadah'), ('pillars', 'namaz'), ('pillars', 'fasting'), ('pillars', 'hajj'), ('pillars', 'zakat'), ('makkah', 'arafaat'), ('makkah', 'kaba_tu_allah'), ('makkah', 'maqaam_e_ibrahim'), ('makkah', 'marwah'), ('makkah', 'masjid_al_haraam'), ('makkah', 'mataaf'), ('makkah', 'meeqaat'), ('makkah', 'mina'), ('makkah', 'muzdalifaah'), ('makkah', 'safaa'), ('hajj', 'makkah'), ('hajj', 'madinah'), ('sunnat_fasting', 'arafat'), ('sunnat_fasting', 'brightmoon'), ('sunnat_fasting', 'muharram'), ('fasting', 'sunnat_fasting'), ('fasting', 'farz_fasting'), ('fasting', 'wajib_fasting'), ('fasting', 'nafil_fasting'), ('farz_namaz', 'asar'), ('farz_namaz', 'fajar'), ('farz_namaz', 'isha'), ('farz_namaz', 'maghrib'), ('farz_namaz', 'zuhar'), ('nafil_namaz', 'awabeen'), ('nafil_namaz', 'chasht'), ('nafil_namaz', 'haajat'), ('nafil_namaz', 'ishraq'), ('nafil_namaz', 'istikhara'), ('nafil_namaz', 'khusoof'), ('nafil_namaz', 'kusoof'), ('nafil_namaz', 'tahiyyatul_ul_wuzu'), ('prayer_component', 'bowing'), ('prayer_component', 'fatiha'), ('prayer_component', 'intention'), ('prayer_component', 'prostration'), ('prayer_component', 'qadah'), ('prayer_component', 'qauma'), ('prayer_component', 'recitation'), ('prayer_component', 'salaam'), ('prayer_component', 'sitting'), ('prayer_component', 'standing'), ('prayer_component', 'standing_after_bow'), ('prayer_component', 'takbir'), ('ghusal_component', 'clean_body'), ('ghusal_component', 'clean_whole_body'), ('ghusal_component', 'rinse_nostrils'), ('ghusal_component', 'rinse_the_mouth'), ('ghusal_component', 'wudu'), ('wajib_namaz', 'eid'), ('wajib_namaz', 'friday'), ('wajib_namaz', 'salat_ul_witr'), ('wajib_namaz', 'tawaff'), ('farz_fasting', 'ramazan'), ('sunnat_namaz', 'funeral'), ('sunnat_namaz', 'istisqa'), ('sunnat_namaz', 'tahajud'), ('sunnat_namaz', 'tarawwih'), ('sunnat_namaz', 'tasbih'), ('sunnat_namaz', 'travel'), ('kaba_tu_allah', 'hajr_e_aswad'), ('kaba_tu_allah', 'hateem'), ('kaba_tu_allah', 'jamaraat'), ('kaba_tu_allah', 'meezab_e_rehmat'), ('kaba_tu_allah', 'multazim'), ('jamaraat', 'jamarah_al_aqaba'), ('jamaraat', 'jamarah_al_sughra'), ('jamaraat', 'jamarah_al_ula'), ('jamaraat', 'jamarah_al_wusta'), ('wajib_fasting', 'kaffara'), ('wajib_fasting', 'nazar'), ('nafil_fasting', 'random'), ('nafil_fasting', 'shabban'), ('nafil_fasting', 'shawwal'), ('tayammum_component', 'wipe_face'), ('tayammum_component', 'wipe_hands'), ('zakat', 'zakat_ul_fitr'), ('zakat', 'zakat_wealth')"
fatiha,,
friday,,
funeral,,
sunnat_namaz,"tarawwih, istisqa, travel, tasbih, tahajud, funeral",
haajat,,
hajr_e_aswad,,
kaba_tu_allah,"hateem, jamarah_al_sughra, jamarah_al_ula, jamaraat, jamarah_al_wusta, multazim, meezab_e_rehmat, jamarah_al_aqaba, hajr_e_aswad","('jamaraat', 'jamarah_al_aqaba'), ('jamaraat', 'jamarah_al_sughra'), ('jamaraat', 'jamarah_al_ula'), ('jamaraat', 'jamarah_al_wusta')"
hateem,,
intention,,
isha,,
ishraq,,
Thing,"ablution_component, component, namaz, allah, shahadah, pillars, last_prophet, arafaat, makkah, hajj, arafat, sunnat_fasting, fasting, asar, farz_namaz, awabeen, nafil_namaz, bowing, prayer_component, brightmoon, chasht, clean_body, ghusal_component, clean_whole_body, eid, wajib_namaz, fajar, farz_fasting, islam, fatiha, friday, funeral, sunnat_namaz, haajat, hajr_e_aswad, kaba_tu_allah, hateem, intention, isha, ishraq, istikhara, istisqa, jamaraat, jamarah_al_aqaba, jamarah_al_sughra, jamarah_al_ula, jamarah_al_wusta, kaffara, wajib_fasting, nazar, khusoof, kiblah, kusoof, madinah, maghrib, maqaam_e_ibrahim, marwah, masah_of_head, masah_of_neck, masjid_al_haraam, mataaf, meeqaat, meezab_e_rehmat, mina, muharram, multazim, muzdalifaah, nafil_fasting, prostration, qadah, qauma, ramazan, random, recitation, rinse_mouth, rinse_nostrils, rinse_the_mouth, safaa, salaam, salat_ul_witr, shabban, shawwal, sitting, standing, standing_after_bow, tahajud, tahiyyatul_ul_wuzu, takbir, tarawwih, tasbih, tawaff, tayammum_component, travel, wash_face, wash_feet_till_ankle, wash_hands, wash_hands_till_elbow, wash_nostrils, wipe_face, wipe_hands, wudu, zakat, zakat_ul_fitr, zakat_wealth, zuhar","('ablution_component', 'masah_of_head'), ('ablution_component', 'masah_of_neck'), ('ablution_component', 'rinse_mouth'), ('ablution_component', 'wash_face'), ('ablution_component', 'wash_feet_till_ankle'), ('ablution_component', 'wash_hands'), ('ablution_component', 'wash_hands_till_elbow'), ('ablution_component', 'wash_nostrils'), ('component', 'ablution_component'), ('component', 'prayer_component'), ('component', 'ghusal_component'), ('component', 'kiblah'), ('component', 'tayammum_component'), ('namaz', 'component'), ('namaz', 'farz_namaz'), ('namaz', 'nafil_namaz'), ('namaz', 'wajib_namaz'), ('namaz', 'sunnat_namaz'), ('shahadah', 'allah'), ('shahadah', 'last_prophet'), ('pillars', 'shahadah'), ('pillars', 'namaz'), ('pillars', 'fasting'), ('pillars', 'hajj'), ('pillars', 'zakat'), ('makkah', 'arafaat'), ('makkah', 'kaba_tu_allah'), ('makkah', 'maqaam_e_ibrahim'), ('makkah', 'marwah'), ('makkah', 'masjid_al_haraam'), ('makkah', 'mataaf'), ('makkah', 'meeqaat'), ('makkah', 'mina'), ('makkah', 'muzdalifaah'), ('makkah', 'safaa'), ('hajj', 'makkah'), ('hajj', 'madinah'), ('sunnat_fasting', 'arafat'), ('sunnat_fasting', 'brightmoon'), ('sunnat_fasting', 'muharram'), ('fasting', 'sunnat_fasting'), ('fasting', 'farz_fasting'), ('fasting', 'wajib_fasting'), ('fasting', 'nafil_fasting'), ('farz_namaz', 'asar'), ('farz_namaz', 'fajar'), ('farz_namaz', 'isha'), ('farz_namaz', 'maghrib'), ('farz_namaz', 'zuhar'), ('nafil_namaz', 'awabeen'), ('nafil_namaz', 'chasht'), ('nafil_namaz', 'haajat'), ('nafil_namaz', 'ishraq'), ('nafil_namaz', 'istikhara'), ('nafil_namaz', 'khusoof'), ('nafil_namaz', 'kusoof'), ('nafil_namaz', 'tahiyyatul_ul_wuzu'), ('prayer_component', 'bowing'), ('prayer_component', 'fatiha'), ('prayer_component', 'intention'), ('prayer_component', 'prostration'), ('prayer_component', 'qadah'), ('prayer_component', 'qauma'), ('prayer_component', 'recitation'), ('prayer_component', 'salaam'), ('prayer_component', 'sitting'), ('prayer_component', 'standing'), ('prayer_component', 'standing_after_bow'), ('prayer_component', 'takbir'), ('ghusal_component', 'clean_body'), ('ghusal_component', 'clean_whole_body'), ('ghusal_component', 'rinse_nostrils'), ('ghusal_component', 'rinse_the_mouth'), ('ghusal_component', 'wudu'), ('wajib_namaz', 'eid'), ('wajib_namaz', 'friday'), ('wajib_namaz', 'salat_ul_witr'), ('wajib_namaz', 'tawaff'), ('farz_fasting', 'ramazan'), ('islam', 'pillars'), ('sunnat_namaz', 'funeral'), ('sunnat_namaz', 'istisqa'), ('sunnat_namaz', 'tahajud'), ('sunnat_namaz', 'tarawwih'), ('sunnat_namaz', 'tasbih'), ('sunnat_namaz', 'travel'), ('kaba_tu_allah', 'hajr_e_aswad'), ('kaba_tu_allah', 'hateem'), ('kaba_tu_allah', 'jamaraat'), ('kaba_tu_allah', 'meezab_e_rehmat'), ('kaba_tu_allah', 'multazim'), ('jamaraat', 'jamarah_al_aqaba'), ('jamaraat', 'jamarah_al_sughra'), ('jamaraat', 'jamarah_al_ula'), ('jamaraat', 'jamarah_al_wusta'), ('wajib_fasting', 'kaffara'), ('wajib_fasting', 'nazar'), ('nafil_fasting', 'random'), ('nafil_fasting', 'shabban'), ('nafil_fasting', 'shawwal'), ('tayammum_component', 'wipe_face'), ('tayammum_component', 'wipe_hands'), ('zakat', 'zakat_ul_fitr'), ('zakat', 'zakat_wealth')"
istikhara,,
istisqa,,
jamaraat,"jamarah_al_wusta, jamarah_al_aqaba, jamarah_al_ula, jamarah_al_sughra",
jamarah_al_aqaba,,
jamarah_al_sughra,,
jamarah_al_ula,,
jamarah_al_wusta,,
kaffara,,
wajib_fasting,"nazar, kaffara",
nazar,,
khusoof,,
kiblah,,
kusoof,,
madinah,,
maghrib,,
maqaam_e_ibrahim,,
marwah,,
masah_of_head,,
masah_of_neck,,
masjid_al_haraam,,
mataaf,,
meeqaat,,
meezab_e_rehmat,,
mina,,
muharram,,
multazim,,
muzdalifaah,,
nafil_fasting,"random, shawwal, shabban",
prostration,,
qadah,,
qauma,,
ramazan,,
random,,
recitation,,
rinse_mouth,,
rinse_nostrils,,
rinse_the_mouth,,
safaa,,
salaam,,
salat_ul_witr,,
shabban,,
shawwal,,
sitting,,
standing,,
standing_after_bow,,
tahajud,,
tahiyyatul_ul_wuzu,,
takbir,,
tarawwih,,
tasbih,,
tawaff,,
tayammum_component,"wipe_face, wipe_hands",
travel,,
wash_face,,
wash_feet_till_ankle,,
wash_hands,,
wash_hands_till_elbow,,
wash_nostrils,,
wipe_face,,
wipe_hands,,
wudu,,
zakat,"zakat_ul_fitr, zakat_wealth",
zakat_ul_fitr,,
zakat_wealth,,
zuhar,,
has_ablution_component,,
ObjectProperty,"has_ablution_component, has_ghusal_component, hascomponent, has_khutbah, performed_on, has_prayer_component","('hascomponent', 'has_ablution_component'), ('hascomponent', 'has_ghusal_component'), ('hascomponent', 'has_prayer_component')"
hascomponent,"has_ablution_component, has_ghusal_component, has_prayer_component",
has_ghusal_component,,
has_khutbah,,
has_prayer_component,,
performed_on,,
